"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"18:11:37,4893071","pacman.exe","25220","QueryAllInformationFile","C:\Windows","BUFFER OVERFLOW","CreationTime: 29/09/2017 09:45:11, LastAccessTime: 14/02/2018 18:09:16, LastWriteTime: 14/02/2018 18:09:16, ChangeTime: 14/02/2018 18:09:16, FileAttributes: D, AllocationSize: 24.576, EndOfFile: 24.576, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x2000000005ec6, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4893148","pacman.exe","25220","CloseFile","C:\Windows","SUCCESS",""
"18:11:37,4894366","pacman.exe","25220","CreateFile","C:\Windows\System32\wbem","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4894558","pacman.exe","25220","QueryInformationVolume","C:\Windows\System32\wbem","SUCCESS","VolumeCreationTime: 02/10/2017 11:12:48, VolumeSerialNumber: FA00-618D, SupportsObjects: True, VolumeLabel: "
"18:11:37,4894638","pacman.exe","25220","QueryAllInformationFile","C:\Windows\System32\wbem","BUFFER OVERFLOW","CreationTime: 29/09/2017 14:46:34, LastAccessTime: 14/02/2018 18:09:17, LastWriteTime: 14/02/2018 18:09:17, ChangeTime: 14/02/2018 18:09:17, FileAttributes: D, AllocationSize: 81.920, EndOfFile: 81.920, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x2000000006dab, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4894722","pacman.exe","25220","CloseFile","C:\Windows\System32\wbem","SUCCESS",""
"18:11:37,4895448","pacman.exe","25220","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4895603","pacman.exe","25220","QueryInformationVolume","C:\Windows\System32\WindowsPowerShell\v1.0","SUCCESS","VolumeCreationTime: 02/10/2017 11:12:48, VolumeSerialNumber: FA00-618D, SupportsObjects: True, VolumeLabel: "
"18:11:37,4895714","pacman.exe","25220","QueryAllInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0","BUFFER OVERFLOW","CreationTime: 29/09/2017 14:46:34, LastAccessTime: 29/09/2017 15:41:47, LastWriteTime: 29/09/2017 15:41:47, ChangeTime: 27/11/2017 06:23:34, FileAttributes: D, AllocationSize: 4.096, EndOfFile: 4.096, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x2000000006dba, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4895804","pacman.exe","25220","CloseFile","C:\Windows\System32\WindowsPowerShell\v1.0","SUCCESS",""
